,loss,mae,mse,mean_absolute_percentage_error,smape_loss,val_loss,val_mae,val_mse,val_mean_absolute_percentage_error,val_smape_loss
856,2.955523996206466e-05,0.004052497912198305,2.955523996206466e-05,1.064202904701233,0.8224794268608093,6.152139394544065e-05,0.00590862100943923,6.152139394544065e-05,1.6874812841415405,1.3152096271514893
857,2.921775922004599e-05,0.004062793683260679,2.921775922004599e-05,1.0647072792053223,0.829172670841217,0.0001003783690975979,0.00754290958866477,0.0001003783690975979,1.7868152856826782,1.4662610292434692
858,3.0256962418206967e-05,0.004136717412620783,3.0256962418206967e-05,1.0597302913665771,0.8350677490234375,6.442143057938665e-05,0.00563366524875164,6.442143057938665e-05,1.514492154121399,1.2429020404815674
859,2.8913751521031372e-05,0.003951893653720617,2.8913751521031372e-05,1.0520844459533691,0.8086382746696472,5.7241144531872123e-05,0.005178953055292368,5.7241144531872123e-05,1.3340487480163574,1.0665607452392578
860,2.9279170121299103e-05,0.003989184275269508,2.9279170121299103e-05,1.0405669212341309,0.812200665473938,8.283543138531968e-05,0.006953425705432892,8.283543138531968e-05,2.321849822998047,1.608219861984253
861,2.744082667049952e-05,0.00398230692371726,2.744082667049952e-05,1.0590686798095703,0.8193720579147339,6.802255666116253e-05,0.005893066991120577,6.802255666116253e-05,1.9744817018508911,1.3461616039276123
862,2.607781789265573e-05,0.0038525480777025223,2.607781789265573e-05,1.0188899040222168,0.7882862091064453,6.98448930052109e-05,0.006086318287998438,6.98448930052109e-05,1.6280419826507568,1.2803000211715698
863,9.088054503081366e-05,0.004318694584071636,9.088054503081366e-05,1.0950523614883423,0.8554750084877014,0.00011693921260302886,0.008290449157357216,0.00011693921260302886,1.980288028717041,1.6403306722640991
864,0.00046309459139592946,0.007271916605532169,0.00046309459139592946,1.5487675666809082,1.2396708726882935,0.0008714060531929135,0.011569244787096977,0.0008714060531929135,3.2055132389068604,2.274498462677002
865,0.00019105921091977507,0.006044476758688688,0.00019105921091977507,1.5096668004989624,1.1355804204940796,0.00020897001377306879,0.009309486486017704,0.00020897001377306879,2.1267335414886475,1.7790606021881104
866,9.575243893777952e-05,0.00508467061445117,9.575243893777952e-05,1.2087513208389282,0.9622926115989685,6.291251338552684e-05,0.005580727942287922,6.291251338552684e-05,1.4342050552368164,1.1482634544372559
867,0.00011454493505880237,0.005303112789988518,0.00011454493505880237,1.2560123205184937,1.00249183177948,0.00011964352597715333,0.00709183793514967,0.00011964352597715333,1.8221286535263062,1.4247432947158813
868,9.300384408561513e-05,0.005188172683119774,9.300384408561513e-05,1.2276027202606201,0.9767258763313293,8.59292849781923e-05,0.006034929305315018,8.59292849781923e-05,1.461318850517273,1.1923832893371582
869,7.377615111181512e-05,0.00521205086261034,7.377615111181512e-05,1.2323648929595947,0.9909101128578186,0.00012052081729052588,0.007644223049283028,0.00012052083184244111,2.3605098724365234,1.679673671722412
870,7.119552901713178e-05,0.004968096502125263,7.119552901713178e-05,1.2000985145568848,0.9521425366401672,0.00011364999954821542,0.007909589447081089,0.00011364999954821542,2.0312910079956055,1.650002360343933
871,4.172833723714575e-05,0.004560807254165411,4.172833723714575e-05,1.1406443119049072,0.8985782861709595,6.308840966084972e-05,0.005387555807828903,6.308840966084972e-05,1.4495480060577393,1.1456681489944458
872,5.447677176562138e-05,0.004685153719037771,5.447677176562138e-05,1.1357665061950684,0.9093720316886902,9.180843335343525e-05,0.007257021963596344,9.180843335343525e-05,2.181384325027466,1.5997499227523804
873,0.0011320096673443913,0.014369886368513107,0.0011320096673443913,2.919820785522461,2.502650260925293,0.0014515819493681192,0.018106723204255104,0.0014515819493681192,3.651123285293579,3.310391426086426
874,0.001561204087920487,0.018689431250095367,0.001561204087920487,4.247432708740234,3.372823715209961,0.00110285182017833,0.02014847658574581,0.00110285182017833,4.532758712768555,3.756528854370117
875,0.0008171536028385162,0.014541606418788433,0.0008171536028385162,3.3421614170074463,2.65889835357666,0.00039323302917182446,0.011460421606898308,0.00039323302917182446,2.6862730979919434,2.206700325012207
876,0.0002872043987736106,0.00944532360881567,0.0002872043987736106,2.2080233097076416,1.7747234106063843,0.0001633037900319323,0.009090741164982319,0.0001633037900319323,2.5892739295959473,1.9506378173828125
877,0.00024972500978037715,0.009177087806165218,0.00024972500978037715,2.256533622741699,1.801600694656372,0.00019188004080206156,0.009229751303792,0.00019188004080206156,2.6473686695098877,2.0198965072631836
878,0.00013477131142280996,0.007392140105366707,0.00013477131142280996,1.8478399515151978,1.4785313606262207,0.00018870094208978117,0.00978713296353817,0.00018870094208978117,2.2935686111450195,1.8972296714782715
879,0.00016557886556256562,0.0073664067313075066,0.00016557886556256562,1.7095364332199097,1.3792742490768433,0.00022927476675249636,0.009689806029200554,0.00022927476675249636,2.2296388149261475,1.8247950077056885
880,0.00015666085528209805,0.007220723200589418,0.00015666085528209805,1.7280174493789673,1.392991065979004,0.00033200057805515826,0.013566420413553715,0.00033200057805515826,3.2298777103424072,2.6416611671447754
881,9.837167453952134e-05,0.006434149574488401,9.837167453952134e-05,1.676827311515808,1.3126682043075562,0.0002282421919517219,0.011438286863267422,0.0002282421919517219,2.546541929244995,2.1498634815216064
